Dataset Name,Image Name,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Experimental Condition [TF Gene Construct],TF Gene GenBank Identifier,Experimental Condition [Target Gene Construct],Target Gene GenBank Identifier,Experimental Condition [TF Operator],Experimental Condition [Target Operator],Experimental Condition [Growth Media],Assay Name,Image File (nd2),Comment [Image File Type],Channels
AO1TO1_Trial1,1X,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,O1,O1,M9 Glucose ,Asymmetry with different opertors,1X,Raw,"Phase, mCherry, YFP"
AO1TO1_Trial1,2X,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,O1,O1,M9 Glucose ,Asymmetry with different opertors,2X,Raw,"Phase, mCherry, YFP"
AO1TO1_Trial1,3X,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,O1,O1,M9 Glucose ,Asymmetry with different opertors,3X,Raw,"Phase, mCherry, YFP"
AO1TO1_Trial1,4X,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,O1,O1,M9 Glucose ,Asymmetry with different opertors,4X,Raw,"Phase, mCherry, YFP"
AO1TO1_Trial1,5X,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,O1,O1,M9 Glucose ,Asymmetry with different opertors,5X,Raw,"Phase, mCherry, YFP"
AO1TO1_Trial1,ATO1,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,O1,O1,M9 Glucose ,Asymmetry with different opertors,0X,Raw,"Phase, mCherry, YFP"
AO1TO1_Trial1,ATNoO1V1,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,noO1V1,noO1V1,M9 Glucose ,Asymmetry with different opertors,no,Raw,"Phase, mCherry, YFP"
AO1TO1_Trial1,HG105,Escherichia coli,NCBITaxon,562,,,,,,,M9 Glucose ,Asymmetry with different opertors,HG,Raw,"Phase, mCherry, YFP"
AO1TO1_Trial2,1X,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,O1,O1,M9 Glucose ,Asymmetry with different opertors,1X,Raw,"Phase, mCherry, YFP"
AO1TO1_Trial2,2X,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,O1,O1,M9 Glucose ,Asymmetry with different opertors,2X,Raw,"Phase, mCherry, YFP"
AO1TO1_Trial2,3X,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,O1,O1,M9 Glucose ,Asymmetry with different opertors,3X,Raw,"Phase, mCherry, YFP"
AO1TO1_Trial2,4X,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,O1,O1,M9 Glucose ,Asymmetry with different opertors,4X,Raw,"Phase, mCherry, YFP"
AO1TO1_Trial2,5X,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,O1,O1,M9 Glucose ,Asymmetry with different opertors,5X,Raw,"Phase, mCherry, YFP"
AO1TO1_Trial2,ATO1,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,O1,O1,M9 Glucose ,Asymmetry with different opertors,0X,Raw,"Phase, mCherry, YFP"
AO1TO1_Trial2,ATNoO1V1,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,noO1V1,noO1V1,M9 Glucose ,Asymmetry with different opertors,no,Raw,"Phase, mCherry, YFP"
AO1TO1_Trial2,HG105,Escherichia coli,NCBITaxon,562,,,,,,,M9 Glucose ,Asymmetry with different opertors,HG,Raw,"Phase, mCherry, YFP"
AO1TO2_Trial1,1X,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,O1,O2,M9 Glucose ,Asymmetry with different opertors,1X,Raw,"Phase, mCherry, YFP"
AO1TO2_Trial1,2X,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,O1,O2,M9 Glucose ,Asymmetry with different opertors,2X,Raw,"Phase, mCherry, YFP"
AO1TO2_Trial1,3X,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,O1,O2,M9 Glucose ,Asymmetry with different opertors,3X,Raw,"Phase, mCherry, YFP"
AO1TO2_Trial1,4X,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,O1,O2,M9 Glucose ,Asymmetry with different opertors,4X,Raw,"Phase, mCherry, YFP"
AO1TO2_Trial1,5X,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,O1,O2,M9 Glucose ,Asymmetry with different opertors,5X,Raw,"Phase, mCherry, YFP"
AO1TO2_Trial1,AO1TO2,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,O1,O2,M9 Glucose ,Asymmetry with different opertors,0X,Raw,"Phase, mCherry, YFP"
AO1TO2_Trial1,ATNoO1V1,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,noO1V1,noO1V1,M9 Glucose ,Asymmetry with different opertors,no,Raw,"Phase, mCherry, YFP"
AO1TO2_Trial1,HG105,Escherichia coli,NCBITaxon,562,,,,,,,M9 Glucose ,Asymmetry with different opertors,HG,Raw,"Phase, mCherry, YFP"
AO1TO2_Trial1,TO2,Escherichia coli,NCBITaxon,562,,,galK<>3*5XX+11-yfp,MT726948,,O2,M9 Glucose ,Asymmetry with different opertors,TO2,Raw,"Phase, mCherry, YFP"
AO1TO2_Trial2,1X,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,O1,O2,M9 Glucose ,Asymmetry with different opertors,1X,Raw,"Phase, mCherry, YFP"
AO1TO2_Trial2,2X,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,O1,O2,M9 Glucose ,Asymmetry with different opertors,2X,Raw,"Phase, mCherry, YFP"
AO1TO2_Trial2,3X,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,O1,O2,M9 Glucose ,Asymmetry with different opertors,3X,Raw,"Phase, mCherry, YFP"
AO1TO2_Trial2,4X,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,O1,O2,M9 Glucose ,Asymmetry with different opertors,4X,Raw,"Phase, mCherry, YFP"
AO1TO2_Trial2,5X,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,O1,O2,M9 Glucose ,Asymmetry with different opertors,5X,Raw,"Phase, mCherry, YFP"
AO1TO2_Trial2,AO1TO2,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,O1,O2,M9 Glucose ,Asymmetry with different opertors,0X,Raw,"Phase, mCherry, YFP"
AO1TO2_Trial2,ATNoO1V1,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726953,galK<>3*5XX+11-yfp,MT726948,noO1V1,noO1V1,M9 Glucose ,Asymmetry with different opertors,no,Raw,"Phase, mCherry, YFP"
AO1TO2_Trial2,HG105,Escherichia coli,NCBITaxon,562,,,,,,,M9 Glucose ,Asymmetry with different opertors,HG,Raw,"Phase, mCherry, YFP"
AO1TO2_Trial2,TO2,Escherichia coli,NCBITaxon,562,,,galK<>3*5XX+11-yfp,MT726948,,O2,M9 Glucose ,Asymmetry with different opertors,TO2,Raw,"Phase, mCherry, YFP"
AO1TOid_Trial1,1X,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,O1,Oid,M9 Glucose ,Asymmetry with different opertors,1X,Raw,"Phase, mCherry, YFP"
AO1TOid_Trial1,2X,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,O1,Oid,M9 Glucose ,Asymmetry with different opertors,2X,Raw,"Phase, mCherry, YFP"
AO1TOid_Trial1,3X,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,O1,Oid,M9 Glucose ,Asymmetry with different opertors,3X,Raw,"Phase, mCherry, YFP"
AO1TOid_Trial1,4X,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,O1,Oid,M9 Glucose ,Asymmetry with different opertors,4X,Raw,"Phase, mCherry, YFP"
AO1TOid_Trial1,5X,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,O1,Oid,M9 Glucose ,Asymmetry with different opertors,5X,Raw,"Phase, mCherry, YFP"
AO1TOid_Trial1,AO1TOid,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,noO1V1,noO1V1,M9 Glucose ,Asymmetry with different opertors,0X,Raw,"Phase, mCherry, YFP"
AO1TOid_Trial1,ATNoO1V1,Escherichia coli,NCBITaxon,562,,,,,,,M9 Glucose ,Asymmetry with different opertors,no,Raw,"Phase, mCherry, YFP"
AO1TOid_Trial1,HG105,Escherichia coli,NCBITaxon,562,,,galK<>3*5XX+11-yfp,MT726948,,Oid,M9 Glucose ,Asymmetry with different opertors,HG,Raw,"Phase, mCherry, YFP"
AO1TOid_Trial1,Toid,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,O1,Oid,M9 Glucose ,Asymmetry with different opertors,TO,Raw,"Phase, mCherry, YFP"
AO1TOid_Trial2,1X,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,O1,Oid,M9 Glucose ,Asymmetry with different opertors,1X,Raw,"Phase, mCherry, YFP"
AO1TOid_Trial2,2X,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,O1,Oid,M9 Glucose ,Asymmetry with different opertors,2X,Raw,"Phase, mCherry, YFP"
AO1TOid_Trial2,3X,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,O1,Oid,M9 Glucose ,Asymmetry with different opertors,3X,Raw,"Phase, mCherry, YFP"
AO1TOid_Trial2,4X,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,O1,Oid,M9 Glucose ,Asymmetry with different opertors,4X,Raw,"Phase, mCherry, YFP"
AO1TOid_Trial2,5X,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,O1,Oid,M9 Glucose ,Asymmetry with different opertors,5X,Raw,"Phase, mCherry, YFP"
AO1TOid_Trial2,AO1TOid,Escherichia coli,NCBITaxon,562,ybcN<>25XX+11-lacI-mcherry, MT726947,galK<>3*5XX+11-yfp,MT726948,O1,Oid,M9 Glucose ,Asymmetry with different opertors,0X,Raw,"Phase, mCherry, YFP"
